x,y,signal_strength,Anomaly
78.55,9.1,-41.052632,0
78.55,8.1,-49.0,0
47.55,22.1,-47.944444,0
40.55,21.1,-41.5,0
79.55,9.1,-49.894737,0
40.55,20.1,-40.833333,0
79.55,8.1,-46.111111,0
31.55,7.1,-45.888889,0
72.55,9.1,-32.833333,0
72.55,8.1,-37.333333,0
22.55,16.1,-50.555556,0
22.55,17.1,-49.222222,0
40.55,22.1,-51.388889,0
73.55,9.1,-34.105263,0
22.55,20.1,-49.5,0
22.55,21.1,-47.555556,0
41.55,21.1,-41.105263,0
73.55,8.1,-34.315789,0
22.55,18.1,-53.588235,0
41.55,20.1,-41.888889,0
22.55,19.1,-50.705882,0
22.55,22.1,-50.944444,0
74.55,9.1,-38.368421,0
74.55,8.1,-40.944444,0
41.55,22.1,-38.555556,0
75.55,9.1,-37.0,0
42.55,21.1,-42.611111,0
75.55,8.1,-39.888889,0
42.55,20.1,-42.833333,0
30.55,7.1,-46.0,0
68.55,9.1,-48.473684,0
15.55,8.1,-49.333333,0
68.55,8.1,-40.947368,0
15.55,9.1,-47.055556,0
21.55,17.1,-54.944444,0
42.55,22.1,-35.5,0
80.55,7.1,-48.736842,0
21.55,21.1,-43.888889,0
43.55,21.1,-46.777778,0
21.55,18.1,-58.222222,0
43.55,20.1,-40.777778,0
69.55,9.1,-44.894737,0
21.55,19.1,-52.388889,0
21.55,16.1,-56.388889,0
43.55,22.1,-33.222222,0
69.55,8.1,-44.444444,0
81.55,7.1,-47.0,0
21.55,22.1,-50.777778,0
21.55,20.1,-51.0,0
65.55,7.1,-41.631579,0
27.55,22.1,-36.777778,0
66.55,7.1,-52.526316,0
29.55,7.1,-51.0,0
67.55,7.1,-48.210526,0
10.55,7.1,-50.666667,0
44.55,21.1,-39.833333,0
44.55,20.1,-47.055556,0
44.55,22.1,-34.611111,0
45.55,21.1,-37.5,0
20.55,22.1,-48.166667,0
20.55,20.1,-41.666667,0
20.55,21.1,-49.666667,0
26.55,22.1,-46.722222,0
45.55,20.1,-45.722222,0
45.55,22.1,-36.555556,0
46.55,21.1,-45.666667,0
28.55,7.1,-51.5,0
76.55,9.1,-37.388889,0
46.55,20.1,-43.444444,0
76.55,8.1,-44.0,0
46.55,22.1,-45.444444,0
47.55,21.1,-44.055556,0
77.55,9.1,-45.5,0
47.55,20.1,-45.5,0
77.55,8.1,-42.111111,0
27.55,20.1,-45.333333,0
27.55,21.1,-44.611111,0
25.55,22.1,-44.111111,0
73.55,7.1,-37.736842,0
25.55,20.1,-48.444444,0
74.55,7.1,-38.222222,0
75.55,7.1,-37.444444,0
11.55,7.1,-47.833333,0
68.55,7.1,-47.842105,0
26.55,20.1,-46.444444,0
26.55,21.1,-46.055556,0
24.55,22.1,-49.166667,0
69.55,7.1,-47.777778,0
24.55,20.1,-45.111111,0
24.55,21.1,-42.277778,0
70.55,7.1,-43.789474,0
71.55,7.1,-38.0,0
64.55,7.1,-48.947368,0
25.55,21.1,-45.166667,0
31.55,20.1,-33.388889,0
31.55,21.1,-36.777778,0
31.55,22.1,-34.555556,0
76.55,7.1,-46.777778,0
30.55,20.1,-34.055556,0
30.55,21.1,-42.888889,0
77.55,7.1,-45.368421,0
30.55,22.1,-39.277778,0
78.55,7.1,-47.111111,0
79.55,7.1,-43.222222,0
10.55,8.1,-52.555556,0
10.55,9.1,-51.4,0
72.55,7.1,-39.555556,0
29.55,21.1,-37.611111,0
67.55,22.1,-44.526316,0
50.55,9.1,-51.055556,0
29.55,22.1,-37.611111,0
50.55,8.1,-51.555556,0
67.55,21.1,-43.947368,0
29.55,20.1,-37.722222,0
67.55,20.1,-46.944444,0
51.55,9.1,-51.555556,0
51.55,8.1,-52.388889,0
28.55,22.1,-46.5,0
28.55,20.1,-39.888889,0
28.55,21.1,-36.833333,0
11.55,8.1,-49.333333,0
11.55,9.1,-54.333333,0
53.55,13.1,-51.777778,0
53.55,12.1,-45.722222,0
53.55,15.1,-48.444444,0
54.55,9.1,-42.944444,0
53.55,14.1,-52.333333,0
54.55,8.1,-48.722222,0
68.55,21.1,-40.684211,0
68.55,20.1,-38.631579,0
54.55,11.1,-40.222222,0
68.55,22.1,-50.333333,0
54.55,10.1,-34.611111,0
54.55,13.1,-45.166667,0
69.55,21.1,-33.631579,0
54.55,12.1,-41.555556,0
69.55,20.1,-36.684211,0
54.55,15.1,-46.222222,0
69.55,22.1,-36.368421,0
70.55,17.1,-52.105263,0
54.55,14.1,-43.0,0
55.55,9.1,-42.055556,0
70.55,20.1,-42.263158,0
55.55,8.1,-41.277778,0
70.55,22.1,-40.0,0
71.55,17.1,-44.263158,0
70.55,16.1,-55.947368,0
70.55,19.1,-45.388889,0
70.55,18.1,-51.0,0
70.55,21.1,-37.777778,0
71.55,20.1,-36.555556,0
71.55,22.1,-37.631579,0
71.55,16.1,-53.666667,0
71.55,19.1,-40.5,0
71.55,18.1,-47.842105,0
71.55,21.1,-42.0,0
48.55,9.1,-50.277778,0
64.55,20.1,-42.052632,0
48.55,8.1,-48.388889,0
64.55,22.1,-36.315789,0
64.55,21.1,-37.315789,0
65.55,20.1,-43.842105,0
65.55,22.1,-46.105263,0
49.55,9.1,-47.666667,0
65.55,21.1,-40.368421,0
49.55,8.1,-48.277778,0
66.55,22.1,-44.684211,0
66.55,21.1,-38.842105,0
66.55,20.1,-44.736842,0
58.55,9.1,-37.0,0
58.55,8.1,-44.222222,0
59.55,9.1,-38.833333,0
59.55,8.1,-46.555556,0
52.55,9.1,-50.333333,0
52.55,8.1,-53.5,0
52.55,11.1,-49.777778,0
52.55,10.1,-51.777778,0
52.55,13.1,-49.944444,0
52.55,12.1,-54.5,0
52.55,15.1,-54.0,0
52.55,14.1,-53.0,0
53.55,9.1,-42.611111,0
53.55,8.1,-46.5,0
53.55,11.1,-41.166667,0
53.55,10.1,-44.111111,0
55.55,7.1,-43.833333,0
62.55,9.1,-46.277778,0
62.55,8.1,-49.333333,0
48.55,7.1,-48.0,0
63.55,9.1,-48.0,0
63.55,8.1,-49.166667,0
49.55,7.1,-49.5,0
56.55,9.1,-35.777778,0
56.55,8.1,-46.666667,0
50.55,7.1,-48.055556,0
57.55,9.1,-33.611111,0
57.55,8.1,-42.111111,0
51.55,7.1,-49.5,0
33.55,8.1,-51.666667,0
59.55,7.1,-46.444444,0
34.55,9.1,-38.666667,0
34.55,8.1,-49.333333,0
52.55,7.1,-51.277778,0
19.55,9.1,-36.263158,0
19.55,8.1,-34.333333,0
35.55,9.1,-38.222222,0
35.55,8.1,-45.444444,0
53.55,7.1,-51.0,0
12.55,20.1,-38.611111,0
60.55,9.1,-48.666667,0
12.55,21.1,-39.555556,0
12.55,22.1,-34.666667,0
60.55,8.1,-41.333333,0
54.55,7.1,-39.888889,0
18.55,9.1,-44.944444,0
18.55,8.1,-39.555556,0
61.55,9.1,-46.5,0
61.55,8.1,-47.833333,0
37.55,9.1,-39.444444,0
37.55,8.1,-39.222222,0
37.55,11.1,-46.388889,0
63.55,7.1,-51.526316,0
37.55,10.1,-45.666667,0
37.55,13.1,-53.055556,0
37.55,12.1,-41.111111,0
37.55,15.1,-54.722222,0
38.55,9.1,-39.888889,0
37.55,14.1,-51.666667,0
38.55,8.1,-37.555556,0
38.55,11.1,-45.611111,0
56.55,7.1,-44.833333,0
38.55,10.1,-37.333333,0
38.55,13.1,-48.722222,0
38.55,12.1,-48.722222,0
38.55,15.1,-51.444444,0
17.55,9.1,-43.055556,0
38.55,14.1,-48.944444,0
17.55,8.1,-47.166667,0
39.55,9.1,-35.444444,0
39.55,8.1,-40.388889,0
57.55,7.1,-39.333333,0
13.55,20.1,-37.388889,0
13.55,21.1,-34.631579,0
13.55,22.1,-36.888889,0
32.55,9.1,-48.555556,0
32.55,8.1,-52.5,0
58.55,7.1,-33.277778,0
16.55,9.1,-39.777778,0
16.55,8.1,-46.444444,0
